VGS,BLOOD,LGD,pg/l,Value
-2.44451,131.50095,2,0.1,77.80371
-2.93354,101.73214,2,0.1,58.52598
-3.40084,74.0949,2,0.1,31.39876
-4,49.30592,2,0.1,7.30592
-4.44411,28.08553,2,0.1,0.93739
-5,11.51485,2,0.1,-4.51485
-5.47683,1.6259,2,0.1,-7.77932
-5.75,0.08505,2,0.1,-7.91495
-6.28299,8.13E-04,2,0.1,-5.75178
-6.47267,5.49E-04,2,0.1,-2.99639
-6.59597,5.45E-04,2,0.1,-2.5285
-6.72664,5.41E-04,2,0.1,-2.04327
-6.8141,5.36E-04,2,0.1,-1.45407
-7,5.27E-04,2,0.1,5.27E-04
-7.5,5.13E-04,2,0.1,5.13E-04
-8,5.03E-04,2,0.1,5.03E-04
-8.5,4.95E-04,2,0.1,4.95E-04
-9,4.88E-04,2,0.1,4.88E-04
2,203.65344,4,0.01,189.65344
1.5,200.6156,4,0.01,186.6156
1,197.03526,4,0.01,183.03526
0.5,192.75048,4,0.01,178.75048
-1.84E-16,187.52835,4,0.01,173.52835
-0.5,181.01135,4,0.01,167.01135
-1,172.65369,4,0.01,158.65369
-1.5,161.54749,4,0.01,147.54749
-2,146.19992,4,0.01,132.19992
-2.5,124.81414,4,0.01,110.81414
-3,98.44077,4,0.01,84.44077
-3.36856,71.87621,4,0.01,57.87621
-3.4969,59.43856,4,0.01,45.43856
-3.58027,47.77702,4,0.01,33.77702
-3.74701,27.27333,4,0.01,19.29066
-3.9024,11.35195,4,0.01,9.65593
-4.07011,5.5463,4,0.01,4.6997
-4.58629,1.65022,4,0.01,1.11372
-5.22784,0.08879,4,0.01,-0.40457
-5.63166,0.00537,4,0.01,-0.47449
-6.36114,8.43E-04,4,0.01,-0.58128
-7.159,5.47E-04,4,0.01,0.11533
-7.77776,5.24E-04,4,0.01,0.18809
-8.17573,5.15E-04,4,0.01,-0.67466
-8.24394,5.13E-04,4,0.01,5.13E-04
-8.44531,5.11E-04,4,0.01,5.11E-04
-8.53464,5.07E-04,4,0.01,5.07E-04
-8.37711,4.94E-04,4,0.01,4.94E-04
-8.31052,4.90E-04,4,0.01,4.90E-04
-8.39984,4.88E-04,4,0.01,4.88E-04
-8.4778,4.85E-04,4,0.01,4.85E-04
-8.5,4.85E-04,4,0.01,4.85E-04
-9,4.85E-04,4,0.01,4.85E-04
-9.5,4.85E-04,4,0.01,4.85E-04
2,203.65344,4,0.03,171.65344
1.5,200.6156,4,0.03,168.6156
1,197.03526,4,0.03,165.03526
0.5,192.75048,4,0.03,160.75048
-1.84E-16,187.52835,4,0.03,155.52835
-0.5,181.01135,4,0.03,149.01135
-1,172.65369,4,0.03,140.65369
-1.5,161.54749,4,0.03,129.54749
-2,146.19992,4,0.03,114.19992
-2.5,124.81414,4,0.03,92.81414
-3,98.44077,4,0.03,66.44077
-3.36856,71.87621,4,0.03,43.07659
-3.4969,59.43856,4,0.03,31.6784
-3.58027,47.77702,4,0.03,23.10227
-3.74701,27.27333,4,0.03,11.96063
-3.9024,11.35195,4,0.03,7.50392
-4.07011,5.5463,4,0.03,3.73078
-4.58629,1.65022,4,0.03,0.70418
-5.22784,0.08879,4,0.03,-1.16372
-5.63166,0.00537,4,0.03,-1.16372
-6.36114,8.43E-04,4,0.03,-0.95396
-7.159,5.47E-04,4,0.03,-0.40457
-7.77776,5.24E-04,4,0.03,5.24E-04
-8.17573,5.15E-04,4,0.03,5.15E-04
-8.24394,5.13E-04,4,0.03,5.13E-04
-8.44531,5.11E-04,4,0.03,5.11E-04
-8.53464,5.07E-04,4,0.03,5.07E-04
-8.37711,4.94E-04,4,0.03,4.94E-04
-8.31052,4.90E-04,4,0.03,4.90E-04
-8.39984,4.88E-04,4,0.03,4.88E-04
-8.4778,4.85E-04,4,0.03,4.85E-04
-8.5,4.85E-04,4,0.03,4.85E-04
-9,4.85E-04,4,0.03,4.85E-04
-9.5,4.85E-04,4,0.03,4.85E-04
2,203.65344,4,0.05,159.65344
1.5,200.6156,4,0.05,156.6156
1,197.03526,4,0.05,153.03526
0.5,192.75048,4,0.05,148.75048
-1.84E-16,187.52835,4,0.05,143.52835
-0.5,181.01135,4,0.05,137.01135
-1,172.65369,4,0.05,128.65369
-1.5,161.54749,4,0.05,117.54749
-2,146.19992,4,0.05,102.19992
-2.5,124.81414,4,0.05,80.81414
-3,98.44077,4,0.05,54.44077
-3.36856,71.87621,4,0.05,33.21771
-3.4969,59.43856,4,0.05,22.07607
-3.58027,47.77702,4,0.05,13.46329
-3.74701,27.27333,4,0.05,8.19367
-3.9024,11.35195,4,0.05,5.14958
-4.07011,5.5463,4,0.05,2.77186
-4.58629,1.65022,4,0.05,0.07489
-5.22784,0.08879,4,0.05,-1.85295
-5.63166,0.00537,4,0.05,-1.7131
-6.36114,8.43E-04,4,0.05,-1.50334
-7.159,5.47E-04,4,0.05,-0.88403
-7.77776,5.24E-04,4,0.05,-0.47449
-8.17573,5.15E-04,4,0.05,0.42825
-8.24394,5.13E-04,4,0.05,5.13E-04
-8.44531,5.11E-04,4,0.05,5.11E-04
-8.53464,5.07E-04,4,0.05,5.07E-04
-8.37711,4.94E-04,4,0.05,4.94E-04
-8.31052,4.90E-04,4,0.05,4.90E-04
-8.39984,4.88E-04,4,0.05,4.88E-04
-8.4778,4.85E-04,4,0.05,4.85E-04
-8.5,4.85E-04,4,0.05,4.85E-04
-9,4.85E-04,4,0.05,4.85E-04
-9.5,4.85E-04,4,0.05,4.85E-04
2,203.65344,4,0.07,149.65344
1.5,200.6156,4,0.07,146.6156
1,197.03526,4,0.07,143.03526
0.5,192.75048,4,0.07,138.75048
-1.84E-16,187.52835,4,0.07,133.52835
-0.5,181.01135,4,0.07,127.01135
-1,172.65369,4,0.07,118.65369
-1.5,161.54749,4,0.07,107.54749
-2,146.19992,4,0.07,92.19992
-2.5,124.81414,4,0.07,70.81414
-3,98.44077,4,0.07,44.44077
-3.36856,71.87621,4,0.07,24.60493
-3.4969,59.43856,4,0.07,13.8496
-3.58027,47.77702,4,0.07,10.548
-3.74701,27.27333,4,0.07,6.04165
-3.9024,11.35195,4,0.07,2.23424
-4.07011,5.5463,4,0.07,1.80295
-4.58629,1.65022,4,0.07,-0.88403
-5.22784,0.08879,4,0.07,-2.54217
-5.63166,0.00537,4,0.07,-2.61209
-6.36114,8.43E-04,4,0.07,-2.12264
